{'step: ': 58, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-13 11:30:00-0400', tz='America/New_York')}
{'step: ': 59, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-13 12:30:00-0400', tz='America/New_York')}
{'step: ': 60, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-13 13:30:00-0400', tz='America/New_York')}
{'step: ': 61, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-13 14:30:00-0400', tz='America/New_York')}
{'step: ': 62, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-13 15:30:00-0400', tz='America/New_York')}
{'step: ': 63, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-14 09:30:00-0400', tz='America/New_York')}
{'step: ': 64, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-14 10:30:00-0400', tz='America/New_York')}
{'step: ': 65, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-14 11:30:00-0400', tz='America/New_York')}
{'step: ': 66, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-14 12:30:00-0400', tz='America/New_York')}
{'step: ': 67, 'possibility: ': 0, 'possibility reason: ': 'Buy, but balance_usage_ration = 0', 'total open shares: ': 0, 'total sold shares so far: ': 0, 'current balance: ': 100000, 'current net worth: ': 100000.0, 'action: ': array([0.85371196, 0.        ], dtype=float32), 'Reward = Profit: ': 0.0, 'Time: ': Timestamp('2022-04-14 13:30:00-0400', tz='America/New_York')}
